"GENDER = M";"GENDER = F";"GENDER = C";"GENDER = J";"GENDER = U";"GENDER = A";"homeownr = 0";"homeownr = 1";"NUMCHLD";"INCOME";"WEALTH1";"NUMPROM";"RAMNTALL";"MAXRAMNT";"LASTGIFT";"TIMELAG";"AVGGIFT";"totDays";"CONTROLN";"TARGET_B";"confidence(0)";"confidence(1)";"prediction(TARGET_B)";"profit";"cumulative(profit)"
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;9.0;23.0;26.0;8.0;6.0;3.0;5.2;456.9583333333333;34649.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;9.339999999999998
0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;3.0;-1.0;64.0;94.0;11.0;5.0;8.0;5.5294117647;150.95833333333334;188870.0;"0";0.7291666666666666;0.2708333333333333;"1";-1.076;8.263999999999998
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;5.0;72.0;67.0;6.0;5.0;6.0;4.7857142857;243.0;186517.0;"0";0.7291666666666666;0.2708333333333333;"1";-1.076;7.187999999999997
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;4.0;74.0;82.0;5.0;3.0;3.0;3.7272727273;243.0;190560.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;8.758999999999997
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;6.0;64.0;72.0;9.0;3.0;44.0;5.1428571429;273.0;185886.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;10.329999999999997
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;2.0;134.0;265.0;6.0;5.0;2.0;4.4166666667;150.95833333333334;7330.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;11.900999999999996
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;8.0;65.0;61.0;7.0;5.0;12.0;4.0666666667;456.9583333333333;82943.0;"1";0.75;0.25;"1";1.571;13.471999999999996
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;9.0;74.0;102.0;6.0;5.0;3.0;4.8571428571;485.9583333333333;76585.0;"1";0.75;0.25;"1";1.571;15.042999999999996
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;64.0;52.0;5.0;2.0;7.0;2.2608695652;211.95833333333334;727.0;"1";0.75;0.25;"1";1.571;16.613999999999997
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;5.0;8.0;75.0;84.0;10.0;10.0;4.0;4.4210526316;150.95833333333334;188564.0;"0";0.75;0.25;"1";-1.076;15.537999999999997
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;-1.0;65.0;99.0;8.0;5.0;5.0;4.95;456.9583333333333;136180.0;"0";0.75;0.25;"1";-1.076;14.461999999999996
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;9.0;75.0;81.0;5.0;3.0;4.0;3.375;485.9583333333333;49924.0;"0";0.75;0.25;"1";-1.076;13.385999999999996
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;6.0;56.0;68.0;7.0;4.0;4.0;4.5333333333;456.9583333333333;177962.0;"1";0.75;0.25;"1";1.571;14.956999999999995
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;4.0;83.0;194.0;10.0;6.0;4.0;4.2173913043;456.9583333333333;105709.0;"1";0.75;0.25;"1";1.571;16.527999999999995
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;7.0;24.0;27.0;6.0;6.0;2.0;4.5;456.9583333333333;164669.0;"0";0.75;0.25;"1";-1.076;15.451999999999995
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;55.0;92.0;10.0;5.0;7.0;5.1111111111;456.9583333333333;113120.0;"0";0.75;0.25;"1";-1.076;14.375999999999994
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;6.0;82.0;120.0;10.0;10.0;6.0;4.2857142857;119.95833333333333;186462.0;"1";0.75;0.25;"1";1.571;15.946999999999994
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;50.0;51.0;5.0;5.0;3.0;4.6363636364;456.9583333333333;36573.0;"0";0.75;0.25;"1";-1.076;14.870999999999993
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;8.0;36.0;35.0;5.0;5.0;2.0;5.0;485.9583333333333;55849.0;"0";0.75;0.25;"1";-1.076;13.794999999999993
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;74.0;134.0;5.0;5.0;6.0;3.1904761905;456.9583333333333;107895.0;"1";0.75;0.25;"1";1.571;15.365999999999993
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;55.0;67.0;6.0;6.0;6.0;3.7222222222;516.9583333333334;85059.0;"1";0.75;0.25;"1";1.571;16.936999999999994
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;68.0;159.0;5.0;5.0;5.0;3.6136363636;516.9583333333334;66757.0;"1";0.75;0.25;"1";1.571;18.507999999999996
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;8.0;52.0;68.0;10.0;5.0;5.0;5.2307692308;516.9583333333334;21587.0;"1";0.75;0.25;"1";1.571;20.078999999999997
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;-1.0;63.0;110.0;7.0;6.0;5.0;5.5;485.9583333333333;21762.0;"1";0.75;0.25;"1";1.571;21.65
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;-1.0;55.0;66.0;6.0;5.0;14.0;4.125;456.9583333333333;139735.0;"0";0.75;0.25;"1";-1.076;20.573999999999998
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;7.0;5.0;66.0;127.0;7.0;5.0;9.0;5.08;516.9583333333334;127691.0;"0";0.75;0.25;"1";-1.076;19.497999999999998
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;45.0;104.0;8.0;5.0;12.0;4.3333333333;516.9583333333334;188158.0;"0";0.75;0.25;"1";-1.076;18.421999999999997
0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;-1.0;-1.0;54.0;54.0;6.0;6.0;12.0;3.8571428571;456.9583333333333;75835.0;"1";0.75;0.25;"1";1.571;19.993
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;8.0;34.0;35.0;7.0;5.0;4.0;5.0;516.9583333333334;67124.0;"0";0.75;0.25;"1";-1.076;18.916999999999998
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;3.0;27.0;29.0;10.0;6.0;4.0;5.8;547.9583333333334;127759.0;"1";0.75;0.25;"1";1.571;20.488
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;72.0;73.0;5.0;3.0;11.0;3.1739130435;456.9583333333333;119942.0;"0";0.75;0.25;"1";-1.076;19.412
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;4.0;24.0;31.0;7.0;5.0;4.0;5.1666666667;485.9583333333333;21373.0;"1";0.75;0.25;"1";1.571;20.983
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;2.0;29.0;29.0;6.0;5.0;4.0;4.8333333333;485.9583333333333;108820.0;"1";0.75;0.25;"1";1.571;22.554000000000002
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;32.0;32.0;6.0;3.0;3.0;4.0;485.9583333333333;105144.0;"1";0.75;0.25;"1";1.571;24.125000000000004
0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;-1.0;-1.0;59.0;54.0;5.0;3.0;16.0;3.1764705882;516.9583333333334;42977.0;"0";0.75;0.25;"1";-1.076;23.049000000000003
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;-1.0;34.0;33.0;5.0;5.0;11.0;4.7142857143;456.9583333333333;115269.0;"0";0.75;0.25;"1";-1.076;21.973000000000003
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;-1.0;68.0;77.0;5.0;5.0;4.0;3.347826087;516.9583333333334;22695.0;"0";0.75;0.25;"1";-1.076;20.897000000000002
0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;-1.0;-1.0;70.0;74.0;5.0;2.0;4.0;3.5238095238;516.9583333333334;62445.0;"0";0.75;0.25;"1";-1.076;19.821
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;7.0;46.0;43.0;7.0;5.0;15.0;4.7777777778;516.9583333333334;157947.0;"1";0.75;0.25;"1";1.571;21.392000000000003
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;66.0;85.0;5.0;3.0;12.0;3.0357142857;396.0;185353.0;"1";0.75;0.25;"1";1.571;22.963000000000005
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;51.0;44.0;5.0;3.0;1.0;4.0;456.9583333333333;158678.0;"1";0.75;0.25;"1";1.571;24.534000000000006
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;7.0;43.0;47.0;5.0;5.0;4.0;4.2727272727;516.9583333333334;147636.0;"1";0.75;0.25;"1";1.571;26.105000000000008
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;-1.0;58.0;108.0;10.0;3.0;5.0;3.6;456.9583333333333;130185.0;"1";0.75;0.25;"1";1.571;27.67600000000001
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;4.0;81.0;102.5;8.0;3.0;9.0;3.1060606061;365.0;190579.0;"1";0.75;0.25;"1";1.571;29.24700000000001
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;44.0;58.0;6.0;4.0;4.0;3.4117647059;456.9583333333333;142313.0;"1";0.75;0.25;"1";1.571;30.818000000000012
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;61.0;88.0;6.0;4.0;5.0;3.8260869565;456.9583333333333;36527.0;"0";0.75;0.25;"1";-1.076;29.74200000000001
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;53.0;61.0;5.0;5.0;11.0;4.0666666667;456.9583333333333;59679.0;"0";0.75;0.25;"1";-1.076;28.66600000000001
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;4.0;62.0;140.0;5.0;5.0;5.0;5.0;516.9583333333334;18266.0;"1";0.75;0.25;"1";1.571;30.237000000000013
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;67.0;90.5;5.0;5.0;3.0;2.4459459459;516.9583333333334;105325.0;"1";0.75;0.25;"1";1.571;31.808000000000014
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;34.0;45.0;10.0;5.0;3.0;5.625;485.9583333333333;104118.0;"0";0.75;0.25;"1";-1.076;30.732000000000014
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;81.0;110.0;10.0;5.0;25.0;7.3333333333;119.95833333333333;12900.0;"1";0.75;0.25;"1";1.571;32.30300000000001
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;6.0;59.0;81.0;5.0;5.0;4.0;3.0;485.9583333333333;76174.0;"0";0.75;0.25;"1";-1.076;31.22700000000001
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;6.0;44.0;52.0;5.0;5.0;3.0;3.0588235294;516.9583333333334;190799.0;"1";0.75;0.25;"1";1.571;32.79800000000001
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;5.0;55.0;45.0;5.0;5.0;5.0;3.4615384615;485.9583333333333;152010.0;"1";0.75;0.25;"1";1.571;34.36900000000001
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;8.0;30.0;41.0;6.0;5.0;10.0;4.5555555556;485.9583333333333;174760.0;"1";0.75;0.25;"1";1.571;35.940000000000005
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;4.0;27.0;55.0;6.0;6.0;4.0;5.0;516.9583333333334;41288.0;"1";0.75;0.25;"1";1.571;37.511
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;-1.0;55.0;88.0;5.0;5.0;7.0;2.5882352941;456.9583333333333;52158.0;"1";0.75;0.25;"1";1.571;39.082
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;-1.0;71.0;106.0;7.0;5.0;7.0;4.8181818182;456.9583333333333;103906.0;"0";0.75;0.25;"1";-1.076;38.006
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;60.0;94.0;6.0;5.0;13.0;4.4761904762;516.9583333333334;74183.0;"1";0.75;0.25;"1";1.571;39.577
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;6.0;27.0;29.0;5.0;5.0;15.0;4.1428571429;485.9583333333333;47191.0;"1";0.75;0.25;"1";1.571;41.147999999999996
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;9.0;37.0;62.0;10.0;5.0;6.0;5.1666666667;456.9583333333333;56093.0;"0";0.75;0.25;"1";-1.076;40.071999999999996
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;-1.0;35.0;45.0;5.0;3.0;7.0;2.8125;485.9583333333333;124729.0;"0";0.75;0.25;"1";-1.076;38.995999999999995
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;3.0;7.0;73.0;69.0;10.0;5.0;28.0;4.9285714286;243.0;3463.0;"0";0.75;0.25;"1";-1.076;37.919999999999995
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;57.0;43.25;5.0;3.0;17.0;2.8833333333;485.9583333333333;118759.0;"1";0.75;0.25;"1";1.571;39.49099999999999
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;9.0;24.0;31.0;6.0;4.0;4.0;4.4285714286;456.9583333333333;76399.0;"0";0.75;0.25;"1";-1.076;38.41499999999999
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;9.0;73.0;106.75;7.0;4.0;14.0;4.1057692308;456.9583333333333;39479.0;"1";0.75;0.25;"1";1.571;39.98599999999999
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;4.0;4.0;67.0;86.0;10.0;5.0;6.0;5.375;516.9583333333334;55527.0;"1";0.75;0.25;"1";1.571;41.55699999999999
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;-1.0;84.0;185.0;6.0;5.0;2.0;4.3023255814;516.9583333333334;57039.0;"1";0.75;0.25;"1";1.571;43.127999999999986
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;25.0;26.0;6.0;5.0;2.0;3.7142857143;485.9583333333333;74449.0;"0";0.75;0.25;"1";-1.076;42.051999999999985
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;31.0;31.0;5.0;3.0;5.0;3.4444444444;485.9583333333333;32527.0;"1";0.75;0.25;"1";1.571;43.62299999999998
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;-1.0;22.0;31.0;5.0;3.0;1.0;3.4444444444;456.9583333333333;140181.0;"1";0.75;0.25;"1";1.571;45.19399999999998
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;6.0;68.0;79.0;5.0;5.0;11.0;3.7619047619;456.9583333333333;106862.0;"1";0.75;0.25;"1";1.571;46.76499999999998
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;70.0;118.0;6.0;5.0;11.0;3.9333333333;516.9583333333334;147331.0;"0";0.75;0.25;"1";-1.076;45.68899999999998
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;53.0;63.0;5.0;5.0;3.0;3.7058823529;456.9583333333333;143523.0;"1";0.75;0.25;"1";1.571;47.25999999999998
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;3.0;56.0;91.0;10.0;6.0;2.0;5.6875;456.9583333333333;161848.0;"0";0.75;0.25;"1";-1.076;46.183999999999976
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;8.0;71.0;92.0;7.0;5.0;10.0;5.1111111111;456.9583333333333;89768.0;"1";0.75;0.25;"1";1.571;47.754999999999974
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;8.0;101.0;128.0;6.0;5.0;10.0;4.2666666667;150.95833333333334;11640.0;"0";0.75;0.25;"1";-1.076;46.678999999999974
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;6.0;49.0;113.0;6.0;5.0;3.0;4.1851851852;456.9583333333333;56428.0;"0";0.75;0.25;"1";-1.076;45.60299999999997
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;58.0;87.0;10.0;5.0;11.0;5.4375;456.9583333333333;93894.0;"1";0.75;0.25;"1";1.571;47.17399999999997
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;23.0;29.0;7.0;6.0;5.0;5.8;456.9583333333333;48047.0;"1";0.75;0.25;"1";1.571;48.74499999999997
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;-1.0;28.0;28.0;5.0;4.0;3.0;4.0;456.9583333333333;156538.0;"0";0.75;0.25;"1";-1.076;47.66899999999997
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;8.0;62.0;80.0;6.0;5.0;26.0;4.4444444444;456.9583333333333;44370.0;"1";0.75;0.25;"1";1.571;49.23999999999997
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;5.0;95.0;148.0;9.0;5.0;10.0;4.9333333333;335.0;6632.0;"0";0.75;0.25;"1";-1.076;48.163999999999966
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;7.0;37.0;31.0;5.0;5.0;4.0;3.875;485.9583333333333;136110.0;"1";0.75;0.25;"1";1.571;49.734999999999964
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;60.0;126.0;7.0;7.0;2.0;5.25;150.95833333333334;185815.0;"1";0.75;0.25;"1";1.571;51.30599999999996
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;53.0;60.0;10.0;4.0;3.0;5.4545454545;456.9583333333333;72617.0;"1";0.75;0.25;"1";1.571;52.87699999999996
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;55.0;60.0;5.0;5.0;25.0;5.0;485.9583333333333;40817.0;"0";0.75;0.25;"1";-1.076;51.80099999999996
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;7.0;73.0;113.0;6.0;5.0;7.0;4.9130434783;456.9583333333333;45116.0;"1";0.75;0.25;"1";1.571;53.37199999999996
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;-1.0;83.0;189.0;6.0;5.0;3.0;4.9736842105;456.9583333333333;15800.0;"1";0.75;0.25;"1";1.571;54.942999999999955
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;6.0;32.0;42.0;6.0;6.0;1.0;4.6666666667;516.9583333333334;66199.0;"1";0.75;0.25;"1";1.571;56.51399999999995
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;4.0;61.0;58.0;5.0;5.0;9.0;3.4117647059;456.9583333333333;31047.0;"0";0.75;0.25;"1";-1.076;55.43799999999995
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;38.0;46.0;12.0;5.0;1.0;6.5714285714;211.95833333333334;115166.0;"1";0.75;0.25;"1";1.571;57.00899999999995
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;6.0;80.0;292.0;11.0;3.0;7.0;4.8666666667;456.9583333333333;21500.0;"0";0.75;0.25;"1";-1.076;55.93299999999995
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;-1.0;31.0;26.0;5.0;5.0;6.0;3.7142857143;516.9583333333334;152092.0;"1";0.75;0.25;"1";1.571;57.50399999999995
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;40.0;37.5;5.0;5.0;10.0;3.125;516.9583333333334;85894.0;"1";0.75;0.25;"1";1.571;59.074999999999946
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;5.0;83.0;218.0;13.0;5.0;4.0;7.7857142857;243.0;2861.0;"1";0.75;0.25;"1";1.571;60.645999999999944
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;5.0;75.0;97.0;5.0;5.0;7.0;3.5925925926;516.9583333333334;91942.0;"1";0.75;0.25;"1";1.571;62.21699999999994
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;-1.0;47.0;70.0;7.0;5.0;10.0;5.3846153846;516.9583333333334;57369.0;"1";0.75;0.25;"1";1.571;63.78799999999994
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;21.0;22.0;10.0;5.0;14.0;5.5;516.9583333333334;100900.0;"1";0.75;0.25;"1";1.571;65.35899999999994
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;9.0;58.0;63.5;5.0;5.0;11.0;4.2333333333;485.9583333333333;45198.0;"0";0.75;0.25;"1";-1.076;64.28299999999994
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;2.0;33.0;42.0;10.0;5.0;2.0;5.25;516.9583333333334;62700.0;"0";0.75;0.25;"1";-1.076;63.206999999999944
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;6.0;53.0;63.0;8.0;5.0;2.0;4.5;456.9583333333333;78669.0;"1";0.75;0.25;"1";1.571;64.77799999999995
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;5.0;73.0;172.25;6.0;5.0;0.0;4.4166666667;485.9583333333333;74614.0;"1";0.75;0.25;"1";1.571;66.34899999999995
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;79.0;89.0;5.0;3.0;9.0;3.4230769231;150.95833333333334;186350.0;"0";0.75;0.25;"1";-1.076;65.27299999999995
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;-1.0;80.0;149.0;8.0;5.0;4.0;5.5185185185;516.9583333333334;124872.0;"1";0.75;0.25;"1";1.571;66.84399999999995
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;43.0;41.0;6.0;3.0;7.0;4.5555555556;456.9583333333333;158213.0;"1";0.75;0.25;"1";1.571;68.41499999999995
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;4.0;32.0;29.0;5.0;4.0;5.0;4.1428571429;485.9583333333333;172523.0;"1";0.75;0.25;"1";1.571;69.98599999999995
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;9.0;70.0;113.0;8.0;6.0;2.0;5.1363636364;456.9583333333333;132541.0;"0";0.75;0.25;"1";-1.076;68.90999999999995
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;7.0;38.0;44.0;5.0;5.0;3.0;4.4;485.9583333333333;153905.0;"0";0.75;0.25;"1";-1.076;67.83399999999996
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;51.0;85.0;6.0;4.0;3.0;4.25;485.9583333333333;177867.0;"1";0.75;0.25;"1";1.571;69.40499999999996
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;8.0;69.0;132.0;10.0;5.0;4.0;5.28;396.0;3402.0;"0";0.75;0.25;"1";-1.076;68.32899999999997
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;64.0;83.0;5.0;5.0;4.0;4.8823529412;516.9583333333334;60121.0;"0";0.75;0.25;"1";-1.076;67.25299999999997
